Date,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio
2023-09-30,275474,21.55552342,652717.38847288,652695.83294946,102.42861997,652695.83294946,16353.74388688,7.825e-05,0.99996698
2023-10-01,320516,18.92768578,554293.25919813,554274.33151235,76.47216755,554274.33151235,16350.40247661,5.905e-05,0.99996585
2023-10-02,344263,27.27710775,1105443.40981947,1105416.13271172,12.54178526,1105416.13271172,16414.92344914,7.923e-05,0.99997532
2023-10-03,310664,29.0874401,838352.08687744,838322.99943734,44.07945378,838322.99943734,16392.38579211,9.363e-05,0.9999653
2023-10-04,287430,26.3533827,981422.84677012,981396.49338742,19.41547187,981396.49338742,16394.64079088,9.169e-05,0.99997315
2023-10-05,319310,26.69888465,1074621.86053222,1074595.16164757,76.77345191,1074595.16164757,17572.9768872,8.361e-05,0.99997516
2023-10-06,298650,42.56644865,1059461.48859225,1059418.9221436,151.12037893,1059418.9221436,16419.18571567,0.00014253,0.99995982
2023-10-07,244567,41.49443835,807914.78265291,807873.28821456,200.81610762,807873.28821456,16439.21094413,0.00016966,0.99994864
2023-10-08,242440,15.39459141,632449.11451916,632433.71992775,95.28096196,632433.71992775,16427.27274245,6.35e-05,0.99997566
2023-10-09,283648,19.87958721,748447.13364824,748427.25406103,169.75763965,748427.25406103,17675.21396671,7.009e-05,0.99997344
2023-10-10,285060,17.21511505,831226.32244959,831209.10733454,169.69310517,831209.10733454,17542.9767462,6.039e-05,0.99997929
2023-10-11,264600,21.60053422,874875.90475101,874854.30421679,170.3728743,874854.30421679,16438.16651044,8.163e-05,0.99997531
2023-10-12,267090,24.77161271,759731.12414114,759706.35252843,215.9226755,759706.35252843,16491.62218963,9.275e-05,0.99996739
2023-10-13,279518,22.12322943,648083.31770916,648061.19447973,64.48699539,648061.19447973,16525.78993494,7.915e-05,0.99996586
2023-10-14,265220,13.61469973,723041.55287553,723027.9381758,63.68263337,723027.9381758,16547.88809858,5.133e-05,0.99998117
2023-10-15,251923,11.39581142,520360.72748551,520349.33167409,200.83052474,520349.33167409,16552.47660842,4.524e-05,0.9999781
2023-10-16,299782,20.53810185,979950.09380377,979929.55570192,50.91981627,979929.55570192,16553.68620768,6.851e-05,0.99997904
2023-10-17,294257,19.44552819,870205.3226832,870185.87715501,194.91753615,870185.87715501,16524.94897653,6.608e-05,0.99997765
2023-10-18,271345,19.10702136,823586.14925988,823567.04223852,114.81502205,823567.04223852,16441.52351672,7.042e-05,0.9999768
2023-10-19,282007,18.64870878,862941.61594777,862922.96723899,95.53833639,862922.96723899,59300.09688511,6.613e-05,0.99997839
2023-10-20,295888,20.14329055,1022895.82762504,1022875.68433449,12.85276212,1022875.68433449,16417.74645478,6.808e-05,0.99998031
2023-10-21,270518,16.02989417,634747.09116456,634731.06127039,132.6844655,634731.06127039,16480.19389607,5.926e-05,0.99997475
2023-10-22,252457,12.3739806,634987.22823762,634974.85425702,201.385719,634974.85425702,16466.40887084,4.901e-05,0.99998051
2023-10-23,301780,17.00277934,1142474.08578908,1142457.08300974,62.80446652,1142457.08300974,17524.97547532,5.634e-05,0.99998512
2023-10-24,373854,38.32398711,1448331.12715128,1448292.80316417,250.8306239,1448292.80316417,21512.400522,0.00010251,0.99997354
2023-10-25,476549,40.91981017,1042757.61917044,1042716.69936027,98.56836103,1042716.69936027,17402.97504976,8.587e-05,0.99996076
2023-10-26,431256,29.12231441,929254.9649176,929225.84260319,161.18239811,929225.84260319,19035.04344591,6.753e-05,0.99996866
2023-10-27,452816,25.55162168,865578.44292064,865552.89129896,145.25186545,865552.89129896,16235.70241359,5.643e-05,0.99997048
2023-10-28,564383,19.43560602,623077.53073364,623058.09512762,126.88481254,623058.09512762,16229.64642654,3.444e-05,0.99996881
2023-10-29,410290,13.59350683,631166.48486275,631152.89135592,25.32243054,631152.89135592,16232.95433187,3.313e-05,0.99997846
2023-10-30,463202,18.12100813,970406.70903278,970388.58802465,157.82455532,970388.58802465,17382.97490876,3.912e-05,0.99998133
2023-10-31,433751,18.23911226,793336.77422717,793318.53511491,176.29593897,793318.53511491,16235.11252417,4.205e-05,0.99997701
2023-11-01,463644,21.47899763,840079.22889556,840057.74989793,70.26679456,840057.74989793,16243.90850703,4.633e-05,0.99997443
2023-11-02,403545,23.08749913,840199.7032763,840176.61577717,121.91446101,840176.61577717,17222.97454216,5.721e-05,0.99997252
2023-11-03,452354,33.0528189,843914.99404646,843881.94122756,104.53342848,843881.94122756,20089.642982,7.307e-05,0.99996083
2023-11-04,698914,79.51725277,619886.41974031,619806.90248754,148.18603758,619806.90248754,16399.36639588,0.00011377,0.99987172
2023-11-05,673375,71.27194503,547279.82203435,547208.55008932,153.73506309,547208.55008932,16410.85533597,0.00010584,0.99986977
2023-11-06,439319,74.43935485,778410.91194434,778336.47258949,40.01541979,778336.47258949,17107.97443933,0.00016944,0.99990437
2023-11-07,450371,88.07849966,793278.45301051,793190.37451085,61.00908942,793190.37451085,16363.53936987,0.00019557,0.99988897
2023-11-08,583201,118.07035988,859161.19734841,859043.12698853,176.39095406,859043.12698853,16355.98296165,0.00020245,0.99986257
2023-11-09,573466,248.61069055,1098794.1505164,1098545.53982585,112.47119662,1098545.53982585,40041.0523339,0.00043352,0.99977374
2023-11-10,523831,163.6253493,841295.2705809,841131.6452316,154.7098217,841131.6452316,16286.28748373,0.00031236,0.99980551
2023-11-11,627529,114.39754324,690936.2820155,690821.88447226,148.35799117,690821.88447226,16307.53897272,0.0001823,0.99983443
2023-11-12,703327,115.77631582,614504.63660277,614388.86028695,159.19179285,614388.86028695,16305.4440716,0.00016461,0.99981159
2023-11-13,428507,107.65230792,786653.78386403,786546.13155611,206.83094068,786546.13155611,16297.64534854,0.00025123,0.99986315
2023-11-14,523422,101.39519021,939967.22448948,939865.82929927,113.13088332,939865.82929927,19665.975944,0.00019372,0.99989213
2023-11-15,561942,134.043548,829510.42080741,829376.37725941,219.92295287,829376.37725941,16283.3615655,0.00023854,0.99983841
2023-11-16,628426,317.45607694,869659.59279768,869342.13672074,84.01672537,869342.13672074,16288.36093566,0.00050516,0.99963497
2023-11-17,536644,246.73051485,752107.10103416,751860.37051931,206.22440002,751860.37051931,16310.46767068,0.00045977,0.99967195
2023-11-18,629266,316.81453633,488165.52649194,487848.71195561,91.38658642,487848.71195561,16301.47378133,0.00050347,0.99935101
2023-11-19,710579,200.60609474,562062.71947989,561862.11338515,109.75477943,561862.11338515,16308.55287726,0.00028231,0.99964309
2023-11-20,640670,177.71355412,934616.36748551,934438.65393139,168.32567304,934438.65393139,23471.349113,0.00027739,0.99980985
2023-11-21,522593,172.44417578,960261.39317296,960088.94899718,169.26715244,960088.94899718,16292.49263732,0.00032998,0.99982042
2023-11-22,535829,153.65418637,925330.86016607,925177.2059797,71.97233642,925177.2059797,19471.348531,0.00028676,0.99983395
2023-11-23,587706,220.98471903,717939.75129086,717718.76657183,64.57378096,717718.76657183,17488.50239,0.00037601,0.9996922
2023-11-24,623898,97.80573665,892860.90517879,892763.09944214,183.06461071,892763.09944214,17027.885894,0.00015677,0.99989046
2023-11-25,617234,92.16469529,643472.04440638,643379.87971109,121.21633739,643379.87971109,16367.18239618,0.00014932,0.99985677
2023-11-26,578484,81.13972824,672533.7799122,672452.64018396,74.77758268,672452.64018396,16346.59877521,0.00014026,0.99987935
2023-11-27,479487,89.45126617,850647.18009766,850557.72883149,27.26301324,850557.72883149,16368.57843317,0.00018656,0.99989484
2023-11-28,447662,78.80659978,817386.05822028,817307.2516205,161.84028503,817307.2516205,16415.02992484,0.00017604,0.99990359
2023-11-29,360588,63.66139155,876708.2599002,876644.59850865,66.60036669,876644.59850865,16403.76490652,0.00017655,0.99992739
2023-11-30,411882,70.5522986,891791.56023876,891721.00794016,74.44027858,891721.00794016,17031.46974959,0.00017129,0.99992089
2023-12-01,496549,99.17925575,1033613.47964603,1033514.30039028,65.95051205,1033514.30039028,16496.15371681,0.00019974,0.99990405
2023-12-02,429362,63.57856882,751434.92143467,751371.34286585,195.66327448,751371.34286585,16474.001167,0.00014808,0.99991539
2023-12-03,707876,141.88139391,734868.80887361,734726.9274797,156.05747723,734726.9274797,16439.4916686,0.00020043,0.99980693
2023-12-04,570395,150.24265561,1102682.63839182,1102532.39573621,127.69202203,1102532.39573621,16416.96644644,0.0002634,0.99986375
2023-12-05,514962,236.68922712,980168.96261096,979932.27338384,84.98706101,979932.27338384,16356.42120646,0.00045962,0.99975852
