DATE,Close,High,Low,Open,Volume
2021-10-01,48116.94140625,48436.01171875,43320.0234375,43816.7421875,42850641582
2021-10-08,53967.84765625,55922.98046875,53688.0546875,53802.14453125,34800873924
2021-10-15,61593.94921875,62757.12890625,56868.14453125,57345.90234375,51780081801
2021-10-22,60692.265625,63715.0234375,60122.796875,62237.890625,38434082775
2021-10-29,62227.96484375,62927.609375,60329.96484375,60624.87109375,36856881767
2021-11-05,61125.67578125,62541.46875,60844.609375,61460.078125,30605102446
2021-11-12,64155.94140625,65460.81640625,62333.9140625,64863.98046875,36084893887
2021-11-19,58119.578125,58351.11328125,55705.1796875,56896.12890625,38702407772
2021-11-26,53569.765625,59183.48046875,53569.765625,58960.28515625,41810748221
2021-12-03,53598.24609375,57482.16796875,52496.5859375,56509.1640625,39789134215
2021-12-10,47243.3046875,50015.25390625,47023.69921875,47642.14453125,30966005122
2021-12-17,46202.14453125,48004.89453125,45618.21484375,47653.73046875,32902725329
2021-12-24,50822.1953125,51814.02734375,50514.49609375,50806.05078125,24367912228
2021-12-31,46306.4453125,48472.52734375,45819.953125,47169.37109375,36974172400
2022-01-07,41557.90234375,43153.5703125,41077.4453125,43153.5703125,84196607520
2022-01-14,43099.69921875,43346.6875,41982.6171875,42598.87109375,23577403399
2022-01-21,36457.31640625,41060.52734375,35791.42578125,40699.60546875,43011992031
2022-01-28,37784.33203125,37952.87890625,36211.109375,37128.4453125,22238830523
2022-02-04,41500.875,41527.78515625,37093.62890625,37149.265625,29412210792
2022-02-11,42407.9375,43810.83203125,42114.5390625,43571.12890625,26954925781
2022-02-18,40030.9765625,40929.15234375,39637.6171875,40552.1328125,23310007704
2022-02-25,39214.21875,39630.32421875,38111.34375,38333.74609375,26545599159
2022-03-04,39137.60546875,42479.61328125,38805.84765625,42458.140625,28516271427
2022-03-11,38794.97265625,40081.6796875,38347.43359375,39439.96875,26364890465
2022-03-18,41801.15625,42195.74609375,40302.3984375,40944.83984375,34421564942
2022-03-25,44348.73046875,44999.4921875,43706.28515625,43964.546875,30574413034
2022-04-01,46281.64453125,46616.2421875,44403.140625,45554.1640625,38162644287
2022-04-08,42287.6640625,43903.01953125,42183.2890625,43505.13671875,27215995394
2022-04-15,40553.46484375,40617.72265625,39866.83203125,39939.40234375,21756855753
2022-04-22,39740.3203125,40777.7578125,39315.41796875,40525.86328125,28011716745
2022-04-29,38609.82421875,39887.26953125,38235.53515625,39768.6171875,30882994649
2022-05-06,36040.921875,36624.359375,35482.1328125,36573.18359375,37795577489
2022-05-13,29283.103515625,30924.802734375,28782.330078125,29030.91015625,42841124537
2022-05-20,29200.740234375,30664.9765625,28793.60546875,30311.119140625,30749382605
2022-05-27,28627.57421875,29346.943359375,28326.61328125,29251.140625,36582005748
2022-06-03,29704.390625,30633.03515625,29375.689453125,30467.806640625,26175547452
2022-06-10,29083.8046875,30245.80859375,28978.146484375,30110.330078125,29867476527
2022-06-17,20471.482421875,21243.3125,20326.51953125,20385.71875,27132421514
2022-06-24,21231.65625,21472.91796875,20777.51171875,21084.6484375,24957784918
2022-07-01,19269.3671875,20632.671875,19073.708984375,19820.470703125,30767551159
2022-07-08,21731.1171875,22314.94140625,21257.453125,21637.154296875,49899834488
2022-07-15,20836.328125,21138.244140625,20397.0,20573.15625,25905575359
2022-07-22,22714.978515625,23671.927734375,22603.416015625,23163.751953125,31421555646
2022-07-29,23804.6328125,24294.787109375,23481.173828125,23845.212890625,35887249746
2022-08-05,23289.314453125,23422.828125,22612.177734375,22626.833984375,28881249043
2022-08-12,24402.818359375,24412.56640625,23657.265625,23957.203125,27265804688
2022-08-19,20877.552734375,23213.3125,20868.84765625,23213.3125,40509610260
2022-08-26,20260.01953125,21804.908203125,20199.482421875,21596.0859375,42326789564
2022-09-02,19969.771484375,20401.568359375,19814.765625,20126.072265625,29123998928
2022-09-09,21381.15234375,21439.41015625,19310.962890625,19328.140625,48469528171
2022-09-16,19772.583984375,19870.62890625,19400.076171875,19704.005859375,30123362273
2022-09-23,19297.638671875,19464.671875,18617.552734375,19412.400390625,38896078052
2022-09-30,19431.7890625,20109.849609375,19265.662109375,19573.431640625,43975248085
2022-10-07,19546.849609375,20041.0859375,19395.79296875,19957.55859375,29227315390
2022-10-14,19185.65625,19889.146484375,19115.408203125,19382.533203125,38452356727
2022-10-21,19172.46875,19237.384765625,18770.970703125,19053.203125,32459287866
2022-10-28,20595.3515625,20724.98046875,20086.068359375,20287.95703125,43994715910
2022-11-04,21147.23046875,21209.560546875,20188.01953125,20208.76953125,64072727950
2022-11-11,17034.29296875,17650.943359375,16543.482421875,17583.251953125,55871616488
2022-11-18,16697.77734375,16947.05859375,16564.611328125,16687.912109375,26862218609
2022-11-25,16521.841796875,16603.31640625,16388.404296875,16602.26953125,18678255976
2022-12-02,17088.66015625,17088.66015625,16877.880859375,16968.68359375,19539705127
2022-12-09,17133.15234375,17280.546875,17100.8359375,17232.1484375,20328426366
2022-12-16,16647.484375,17505.525390625,16584.701171875,17364.546875,24031608960
2022-12-23,16796.953125,16905.21875,16794.458984375,16829.64453125,15329265213
2022-12-30,16602.5859375,16643.427734375,16408.474609375,16641.330078125,15929162910
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695
2023-03-17,27423.9296875,27787.8125,24955.169921875,25055.123046875,50730261335
2023-03-24,27493.28515625,28388.4375,27039.265625,28324.111328125,25980310960
2023-03-31,28478.484375,28639.896484375,27583.71484375,28032.26171875,19001327598
2023-04-07,27925.859375,28111.59375,27794.03125,28038.966796875,10861680497
2023-04-14,30485.69921875,31005.607421875,30044.498046875,30409.5625,22659995079
2023-04-21,27276.91015625,28349.96875,27177.365234375,28249.23046875,20759504330
2023-04-28,29340.26171875,29572.791015625,28929.609375,29481.013671875,17544464887
2023-05-05,29534.384765625,29668.908203125,28845.509765625,28851.48046875,17936566518
2023-05-12,26804.990234375,27055.646484375,25878.4296875,26987.662109375,19313599897
2023-05-19,26890.12890625,27128.619140625,26700.2109375,26826.75390625,11258983301
2023-05-26,26719.291015625,26916.669921875,26343.94921875,26474.181640625,12711619225
2023-06-02,27249.58984375,27303.861328125,26574.64453125,26824.556640625,14837415000
2023-06-09,26480.375,26770.2890625,26339.314453125,26505.923828125,11015551640
2023-06-16,26327.462890625,26463.173828125,25245.357421875,25575.283203125,16324646965
2023-06-23,30695.46875,31389.5390625,29845.21484375,29896.3828125,24115570085
2023-06-30,30477.251953125,31256.86328125,29600.275390625,30441.353515625,26387306197
2023-07-07,30342.265625,30434.64453125,29777.28515625,29907.998046875,13384770155
2023-07-14,30334.068359375,31582.25390625,29966.38671875,31474.720703125,20917902660
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952
2023-08-04,29074.091796875,29302.078125,28885.3359375,29174.3828125,12036639988
2023-08-11,29397.71484375,29517.7734375,29253.517578125,29424.90234375,10195168197
2023-08-18,26049.556640625,26808.1953125,25668.921875,26636.078125,24026236529
2023-08-25,26047.66796875,26248.103515625,25786.8125,26163.6796875,12406045118
2023-09-01,25800.724609375,26125.869140625,25362.609375,25934.021484375,17202862221
2023-09-08,25905.654296875,26414.005859375,25677.48046875,26245.208984375,10817356400
2023-09-15,26608.693359375,26840.498046875,26240.701171875,26533.818359375,11479735788
2023-09-22,26579.568359375,26726.078125,26495.533203125,26564.056640625,10578746709
2023-09-29,26911.720703125,27225.9375,26721.763671875,27024.841796875,10396435377
2023-10-06,27946.59765625,28252.537109375,27215.552734375,27412.123046875,13492391599
2023-10-13,26862.375,27092.697265625,26686.322265625,26752.87890625,15165312851
2023-10-20,29682.94921875,30104.0859375,28601.669921875,28732.8125,21536125230
2023-10-27,33909.80078125,34238.2109375,33416.88671875,34156.5,16418032871
2023-11-03,34732.32421875,34942.47265625,34133.44140625,34942.47265625,17158456701
2023-11-10,37313.96875,37493.80078125,36362.75390625,36702.25,22711265155
2023-11-17,36596.68359375,36704.484375,35901.234375,36164.82421875,22445028430
2023-11-24,37720.28125,38415.33984375,37261.60546875,37296.31640625,22922957823
2023-12-01,38688.75,38954.109375,37629.359375,37718.0078125,23512784002
2023-12-08,44166.6015625,44705.515625,43125.296875,43293.13671875,24421116687
2023-12-15,41929.7578125,43087.82421875,41692.96875,43028.25,19639442462
2023-12-22,43997.90234375,44367.95703125,43441.96875,43868.98828125,21028503216
2023-12-29,42099.40234375,43124.32421875,41424.0625,42614.64453125,26000021055
2024-01-05,44162.69140625,44353.28515625,42784.71875,44192.98046875,32336029347
2024-01-12,42853.16796875,46498.13671875,41903.76953125,46354.79296875,43332698900
2024-01-19,41618.40625,42134.16015625,40297.45703125,41278.4609375,25752407154
2024-01-26,41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893
2024-02-02,43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039
2024-02-09,47147.19921875,48152.49609375,45260.82421875,45297.3828125,39316770844
2024-02-16,52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298
2024-02-23,50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270
2024-03-01,62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423
2024-03-08,68300.09375,70083.0546875,66230.453125,66938.09375,59202881172
2024-03-15,69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976
2024-03-22,63778.76171875,66623.75,62355.37109375,65489.9296875,41401116964
2024-03-29,69892.828125,70913.09375,69076.65625,70744.796875,25230851763
2024-04-05,67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056
2024-04-12,67195.8671875,71222.7421875,65254.8359375,70061.3828125,44129299406
2024-04-19,63843.5703125,65481.59765625,59651.390625,63510.75,49920425401
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950
2024-05-03,62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048
2024-05-10,60792.77734375,63446.7421875,60208.78125,63055.19140625,27804954694
2024-05-17,67051.875,67459.4609375,65119.31640625,65231.296875,28031279310
