date,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-03-02 15:50:00,BTCUSDT,74305.839,3286966578.984829,,,0.9250587570285306,
2022-03-02 15:55:00,BTCUSDT,74452.293,3280820576.5880475,,,0.9256814878533504,
2022-03-02 16:00:00,BTCUSDT,74346.135,3280129172.3595,,,0.9265323630339604,
2022-03-02 16:05:00,BTCUSDT,74528.261,3299976242.822807,,,0.9271826662118672,
2022-03-02 16:10:00,BTCUSDT,74795.794,3316041608.6724,,,0.919708566382102,
2022-03-02 16:15:00,BTCUSDT,74785.955,3317843976.515172,,,0.9186496875091692,
2022-03-02 16:20:00,BTCUSDT,74797.458,3313295517.2801995,,,0.9151770066596564,
2022-03-02 16:25:00,BTCUSDT,74457.512,3296628681.0536,,,0.9147385707164012,
2022-03-02 16:30:00,BTCUSDT,74548.426,3303976335.9242167,,,0.9135346036941782,
2022-03-02 16:35:00,BTCUSDT,74731.583,3316150165.649924,,,0.9098070622497272,
2022-03-02 16:40:00,BTCUSDT,74651.91,3308863793.649,,,0.9148495802238806,
2022-03-02 16:45:00,BTCUSDT,74614.6,3304829863.2,,,0.9144550073519776,
2022-03-02 16:50:00,BTCUSDT,74608.983,3302493623.646382,,,0.916192665221629,
2022-03-02 16:55:00,BTCUSDT,74424.258,3292872654.935849,,,0.9164061932107292,
2022-03-02 17:00:00,BTCUSDT,74475.453,3294598543.494469,,,0.9149615440429546,
2022-03-02 17:05:00,BTCUSDT,74475.872,3298536668.297905,,,0.9156411187795132,
2022-03-02 17:10:00,BTCUSDT,74514.012,3304447879.5701485,,,0.9196505153590068,
2022-03-02 17:15:00,BTCUSDT,74523.199,3301951544.3323,,,0.9191293987737192,
2022-03-02 17:20:00,BTCUSDT,74579.71,3301039666.049,,,0.9210679216779968,
2022-03-02 17:25:00,BTCUSDT,74468.186,3292737439.9062004,,,0.9211427907787004,
2022-03-02 17:30:00,BTCUSDT,74883.463,3303925782.6767,,,0.9222493958715464,
2022-03-02 17:35:00,BTCUSDT,74943.492,3310285346.4621606,,,0.9257986045359864,
2022-03-02 17:40:00,BTCUSDT,74920.685,3307329317.4494824,,,0.9285703883848608,
2022-03-02 17:45:00,BTCUSDT,74946.814,3306608465.5916,,,0.9296907966533284,
2022-03-02 17:50:00,BTCUSDT,74727.595,3283772871.409965,,,0.9239697691756692,
2022-03-02 17:55:00,BTCUSDT,74511.903,3261371091.9294004,,,0.9105378544285296,
2022-03-02 18:00:00,BTCUSDT,74360.1,3252532080.513224,,,0.9220773525886514,
2022-03-02 18:05:00,BTCUSDT,74398.811,3263712161.1858,,,0.9423902935836692,
2022-03-02 18:10:00,BTCUSDT,74329.775,3261653578.7747297,,,0.9494643516808274,
2022-03-02 18:15:00,BTCUSDT,74483.127,3267813127.4964,,,0.9485534813766257,
2022-03-02 18:20:00,BTCUSDT,74355.407,3252216275.6916,,,0.9394542479324224,
2022-03-02 18:25:00,BTCUSDT,74285.187,3251447498.1411,,,0.9439034809893492,
2022-03-02 18:30:00,BTCUSDT,74291.898,3254549665.563703,,,0.9475444126918656,
2022-03-02 18:35:00,BTCUSDT,74270.866,3258470849.8448,,,0.9519497374786148,
2022-03-02 18:40:00,BTCUSDT,74207.653,3243847550.986188,,,0.9521929372246858,
2022-03-02 18:45:00,BTCUSDT,74158.855,3235550843.65,,,0.9410249238152724,
2022-03-02 18:50:00,BTCUSDT,74202.355,3234353130.7709484,,,0.9359998827031067,
2022-03-02 18:55:00,BTCUSDT,74080.524,3230407185.9108,,,0.9446443520789578,
2022-03-02 19:00:00,BTCUSDT,73998.556,3226255643.1884,,,0.949263550523518,
2022-03-02 19:05:00,BTCUSDT,73915.151,3227747573.373518,,,0.9629984945538272,
2022-03-02 19:10:00,BTCUSDT,73883.397,3226561830.387,,,0.9749420711781832,
2022-03-02 19:15:00,BTCUSDT,73898.413,3225422407.318404,,,0.9749833271582068,
2022-03-02 19:20:00,BTCUSDT,73947.444,3225469191.3696,,,0.9701865004946768,
2022-03-02 19:25:00,BTCUSDT,73877.869,3215334777.9787,,,0.9680580224985198,
2022-03-02 19:30:00,BTCUSDT,74125.766,3225501169.1474,,,0.965264353908129,
2022-03-02 19:35:00,BTCUSDT,74285.528,3230885612.1984,,,0.9679048334143072,
2022-03-02 19:40:00,BTCUSDT,74064.213,3236930162.4746795,,,0.9877590577009095,
2022-03-02 19:45:00,BTCUSDT,74167.127,3241500126.045126,,,0.9925745895895148,
2022-03-02 19:50:00,BTCUSDT,74185.16,3243375195.2,,,0.9948042280780108,
2022-03-02 19:55:00,BTCUSDT,74174.01,3241626759.03,,,1.0059156532678368,
2022-03-02 20:00:00,BTCUSDT,74187.224,3241269491.4496,,,1.0005818984810957,
2022-03-02 20:05:00,BTCUSDT,74126.948,3242999046.5045605,,,1.00862223818933,
2022-03-02 20:10:00,BTCUSDT,74048.94,3238075691.2142963,,,1.008667324187812,
2022-03-02 20:15:00,BTCUSDT,74023.742,3234674673.1676,,,1.0077428017305683,
2022-03-02 20:20:00,BTCUSDT,74099.217,3240884863.8507004,,,1.0080470903807466,
2022-03-02 20:25:00,BTCUSDT,74131.204,3240586277.8968,,,1.008460942620509,
2022-03-02 20:30:00,BTCUSDT,74114.33,3241808691.434372,,,1.0092042357356688,
2022-03-02 20:35:00,BTCUSDT,73983.06,3241430642.372009,,,1.024467780573426,
2022-03-02 20:40:00,BTCUSDT,73997.69,3237282378.1871743,,,1.0262935840641292,
2022-03-02 20:45:00,BTCUSDT,74009.187,3240092603.1852,,,1.0252276661398358,
2022-03-02 20:50:00,BTCUSDT,74063.596,3245738385.0804014,,,1.02594900508745,
2022-03-02 20:55:00,BTCUSDT,74000.159,3241347500.749484,,,1.0274734383241657,
2022-03-02 21:00:00,BTCUSDT,73998.609,3240643837.352669,,,1.0268838245476717,
2022-03-02 21:05:00,BTCUSDT,73952.955,3236188706.0955,,,1.0254452543773953,
2022-03-02 21:10:00,BTCUSDT,73915.23,3234886520.987407,,,1.022038650095201,
2022-03-02 21:15:00,BTCUSDT,73886.083,3232833841.4069,,,1.0214841116454672,
2022-03-02 21:20:00,BTCUSDT,73828.361,3236982339.5367,,,1.0220900085422693,
2022-03-02 21:25:00,BTCUSDT,73769.17,3231960122.206,,,1.0225627033266869,
2022-03-02 21:30:00,BTCUSDT,73747.719,3228343273.0845,,,1.0216153869199196,
2022-03-02 21:35:00,BTCUSDT,73746.538,3229088036.8294005,,,1.021325665678258,
2022-03-02 21:40:00,BTCUSDT,73761.547,3229201441.4572268,,,1.0227398696726837,
2022-03-02 21:45:00,BTCUSDT,73790.363,3233220682.3169,,,1.0234603226917949,
2022-03-02 21:50:00,BTCUSDT,73726.737,3229511242.2006,,,1.027321994205335,
2022-03-02 21:55:00,BTCUSDT,73819.392,3240741018.4169383,,,1.035059061965909,
2022-03-02 22:00:00,BTCUSDT,73577.729,3241922666.549148,,,1.0559377711664808,
2022-03-02 22:05:00,BTCUSDT,73627.946,3249798370.4318204,,,1.066492971589934,
2022-03-02 22:10:00,BTCUSDT,73510.325,3234356723.933166,,,1.0555904818784774,
2022-03-02 22:15:00,BTCUSDT,73523.488,3234239418.3296,,,1.052375801470473,
2022-03-02 22:20:00,BTCUSDT,73461.354,3229892189.3831964,,,1.0454296404139076,
2022-03-02 22:25:00,BTCUSDT,73347.078,3230749260.798484,,,1.0508031027187963,
2022-03-02 22:30:00,BTCUSDT,73363.675,3230547419.5225,,,1.0497136419115576,
2022-03-02 22:35:00,BTCUSDT,73465.24,3240654587.736,,,1.0438745993276524,
2022-03-02 22:40:00,BTCUSDT,73611.287,3247707899.0539,,,1.0412791060615518,
2022-03-02 22:45:00,BTCUSDT,73676.295,3251452780.422,,,1.0432793642367562,
2022-03-02 22:50:00,BTCUSDT,73657.676,3246702068.616934,,,1.0466845822136115,
2022-03-02 22:55:00,BTCUSDT,73693.127,3249439480.5634,,,1.0430808584976292,
2022-03-02 23:00:00,BTCUSDT,73701.129,3246396154.099468,,,1.0415764804808545,
2022-03-02 23:05:00,BTCUSDT,73735.867,3250284390.9467,,,1.03960349890465,
2022-03-02 23:10:00,BTCUSDT,73776.558,3254370484.934629,,,1.037101377342102,
2022-03-02 23:15:00,BTCUSDT,73824.372,3252472974.7668,,,1.0346136564354442,
2022-03-02 23:20:00,BTCUSDT,73857.338,3255194032.565558,,,1.0331113520210624,
2022-03-02 23:25:00,BTCUSDT,73899.016,3258370193.2752,,,1.0365472171462198,
2022-03-02 23:30:00,BTCUSDT,73837.32,3247440584.088037,,,1.0364396284829722,
2022-03-02 23:35:00,BTCUSDT,73783.448,3245527283.8656,,,1.0232977951954083,
2022-03-02 23:40:00,BTCUSDT,73766.684,3241842111.5661044,,,1.019559902200489,
2022-03-02 23:45:00,BTCUSDT,73737.154,3238292471.0718,,,1.0162706255458014,
2022-03-02 23:50:00,BTCUSDT,73734.852,3235780245.168,,,1.0128607037450492,
